id,UMAP1,UMAP2,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941611945389,-6.4669365043409455,3.758144024916444,76217048203999588,"121856, 230990, 6503",left,ventral_nerve_cord,efferent,motor,19A,leg_motor,left_first_abdominal_nerve,sternal_adductor_MetaAN,NA,Sternal anterior rotator MN,EFF_13,middle-hind leg
720575941487139138,-0.9043912048109164,2.9652425089557504,75933167642814268,"113480,159434,4921",right,ventral_nerve_cord,efferent,motor,03B,wing_power,right_posterior_dorsal_mesothoracic_nerve,DVM3a-b,NA,"DVMn 3a, b",EFF_09,flight-energy-power
720575941590220684,-0.9385966415174594,2.9847823420246002,76918398848286707,"142156,160345,5325",left,ventral_nerve_cord,efferent,motor,03B,wing_power,left_posterior_dorsal_mesothoracic_nerve,DVM3a-b,NA,"DVMn 3a, b",EFF_09,flight-energy-power
720575941466521622,2.3910784666768854,0.7913383284290155,75091697918947227,"89010, 246103, 6068",right,ventral_nerve_cord,efferent,motor,NA,NA,abdominal_nerve_trunk,EFFabg10,NA,MNad11,EFF_07,abdomen motor 1
720575941532477874,6.4401050453416815,1.8075312414844333,74951166722906382,"85385, 253341, 6485",left,ventral_nerve_cord,efferent,visceral_circulatory,00B,NA,abdominal_nerve_trunk,ab-PDF,NA,auto:INXXX418,EFF_05,abdomen-ureter
720575941565555712,5.010203922294799,2.35046470553473,74951304229095013,"83995, 257819, 6817",left,ventral_nerve_cord,efferent,motor,NA,ovulation,abdominal_nerve_trunk,EFFabg95f,NA,MNad20,EFF_03,abdomen-positioning
720575941449780405,9.042021358513058,-3.3087825736324454,76985261959397613,"144714, 56840, 1649",left,central_brain,efferent,motor,putative_primary,proboscis_motor,left_maxillary-labial_nerve,MN1,MN1,NA,EFF_01,proboscis-antenna
720575941595182629,5.2574780826799294,2.4300519266803597,74951166722735105,"85700, 253767, 6415",right,ventral_nerve_cord,efferent,motor,NA,ovulation,abdominal_nerve_trunk,EFFabg95f,NA,MNad20,EFF_03,abdomen-positioning
720575941405981487,8.24064453890247,-0.1321629246990348,76209969359762128,"122587, 18879, 3721",left,central_brain,efferent,visceral_circulatory,DILP__prim,"diuresis,food_intake,energy_metabolism,post_mating_responses",right_corpus_cardiacum_nerve,m_NSC_DH44,m_NSC_DH44,NA,EFF_04,energy homeostasis
720575941483728326,-6.146023189521626,4.141038540907655,77130467220262559,"147800, 188569, 5519",left,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,left_mesothoracic_leg_nerve,femur_reductor,NA,Fe reductor MN,EFF_13,middle-hind leg
720575941475008577,1.9959944525144633,1.4420713225086068,75513429481247949,"102190, 231922, 6401",left,ventral_nerve_cord,efferent,motor,06A,NA,abdominal_nerve_trunk,EFFabg17,NA,MNad08,EFF_07,abdomen motor 1
720575941411866027,5.93988260080738,0.775579575606141,75162272888692714,"91520, 252652, 6347",left,ventral_nerve_cord,efferent,motor,NA,NA,abdominal_nerve_trunk,EFFabg04,NA,MNad49,EFF_15,abdomen-reproductive
720575941518199955,5.208810890220822,2.4528418818195177,75232641699566531,"92813, 252509, 6503",left,ventral_nerve_cord,efferent,motor,00B,ovulation,abdominal_nerve_trunk,CMU,NA,MNad65,EFF_03,abdomen-positioning
720575941463144336,-1.2837728614576451,2.945405129500176,75862798965530224,"112194,159150,5125",right,ventral_nerve_cord,efferent,motor,03B,wing_power,right_posterior_dorsal_mesothoracic_nerve,DLM1-4,NA,DLMn c-f,EFF_09,flight-energy-power
720575941513362252,-2.8281997794874387,-2.5185834130565787,75441479518201351,"99224, 186329, 3852",right,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,right_mesothoracic_leg_nerve,femur_reductor,NA,Pleural remotor/abductor MN,EFF_10,middle-hind leg
720575941552141191,8.517256820701778,0.11924839407995673,76281231322568038,"124343, 47075, 3151",right,central_brain,efferent,visceral_circulatory,DILP__prim,"energy_metabolism,food_intake",left_corpus_cardiacum_nerve,m_NSC_DILP,m_NSC_DILP,NA,EFF_04,energy homeostasis
720575941501934423,-2.369826709724246,-2.2183620890895988,75161516638670708,"90120, 229983, 4981",right,ventral_nerve_cord,efferent,motor,19A,leg_motor,right_metathoracic_leg_nerve,femur_reductor,NA,auto:IN19A015,EFF_10,middle-hind leg
720575941524155467,2.049583474301518,1.4325684347827767,75232229248846268,"93690, 240030, 6062",right,ventral_nerve_cord,efferent,motor,06A,NA,abdominal_nerve_trunk,EFFabg20,NA,MNad19,EFF_07,abdomen motor 1
