root_id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941415964049,-3.3945032638421226,-7.576342829248262,77618512071724252,"162723, 54838, 2163",left,optic_lobe,visual_projection,NA,visual,LC31a,LC31a,NA,NA,left visual
720575941415969052,5.095924468625528,-5.435023077508761,76070537004606934,"118140, 57376, 1676",right,central_brain,central_brain_intrinsic,LB7__prim,NA,CB0485,CB0485,NA,NA,superior brain
720575941415973265,3.6294249015936684,-4.621693857690645,78602781472623233,"191437, 28414, 3470",left,optic_lobe,visual_projection,NA,NA,NA,NA,NA,NA,inferior brain
720575941415985553,-4.944816498171346,-9.189653166314914,77899437762354062,"171568, 38711, 3954",left,optic_lobe,visual_projection,NA,NA,NA,auto:LC11,NA,NA,left visual
720575941415987228,-12.03656998098995,11.052437058904818,76282811803413326,"123375, 92244, 2832",left,ventral_nerve_cord,sensory_ascending,NA,proprioception,SApp01,NA,SApp01,NA,NA
720575941416009108,6.490862937558635,-6.6826870522707225,76421213299454982,"128867, 24205, 4652",left,central_brain,central_brain_intrinsic,putative_primary,olfactory,PPL101,PPL101,NA,NA,right olfactory
720575941416016412,7.657717319119912,-2.8631188950746784,76632663196953800,"134574, 33675, 5081",left,central_brain,central_brain_intrinsic,SMPpv1,NA,CB1586,CB1586,NA,NA,superior brain
720575941416042524,1.928174825299723,-8.691747435113742,75013769428190141,"86698, 21231, 3700",right,central_brain,central_brain_intrinsic,AOTUv3_dorsal,NA,"TuBu09,TuBu10","TuBu09,TuBu10",NA,NA,inferior brain
720575941416045596,-2.2137576621880704,6.684553376653836,76562636908978813,"132137, 44002, 619",left,central_brain,central_brain_intrinsic,MD_SA1,NA,CB0825,CB0825,NA,NA,flange median bundle
720575941416062097,1.453848929990275,-2.04735184528525,76984987282695493,"144897, 47713, 2377",left,central_brain,central_brain_intrinsic,putative_primary,NA,WED076,WED076,NA,NA,inferior brain
