flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,alignment_cell_type,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,malecns_09_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id,malecns_09_match_id
,,mushroom_body_dopaminergic_neuron,front_leg_hook_chordotonal_organ_neuron,,,,visual_chromatic,"ppk23, ppk25",proboscis_m8_muscle,,,right_prothoracic_accessory_nerve,CREl1,,,,,,,,,,,,,,,,
,,mushroom_body_extrinsic_neuron,front_leg_motor_neuron,,,,visual_ocellar,proboscis_positioning,proboscis_m9_muscle,,,right_prothoracic_chordotonal_nerve,DILP__prim,,,,,,,,,,,,,,,,
,,mushroom_body_output_neuron,front_leg_multidendritic_neuron,,,,visual_polarized_light,pull_long_tendon,proboscis_muscle,,,right_prothoracic_leg_nerve,DL1_dorsal,,,,,,,,,,,,,,,,
,,neck_motor_neuron,front_leg_neurosecretory_cell,,,,walking,putative_nociception,ps1_muscle,,,right_second_abdominal_nerve,DL1_ventral,,,,,,,,,,,,,,,,
,,nervous_system_ensheathing_glia,front_leg_orphan_neuron,,,,wing_power,reproductive_tract_chemosensation,ps2_muscle,,,right_stomodeal_nerve,DL2_dorsal,,,,,,,,,,,,,,,,
,,nutrient_sensory_neuron,front_leg_taste_bristle_gustatory_neuron,,,,wing_steering,reproductive_tract_mechanosensation,retina_muscle,,,right_ventral_cervical_nerve,DL2_ventral,,,,,,,,,,,,,,,,
,,ocellar_centrifugal_neuron,front_leg_taste_bristle_neuron,,,,wing_tension,salivation,sclerite_rotator_muscle,,,right_ventral_prothoracic_nerve,DM_CX,,,,,,,,,,,,,,,,
,,ocellar_intrinsic_neuron,front_leg_taste_bristle_tactile_neuron,,,,wing_vibration,stretch,sex_peptide_receptor,,,,DM1_antero_dorsal,,,,,,,,,,,,,,,,
,,ocellar_projection_neuron,frontal_bristle_neuron,,,,,"sugar, Gr43a, Gr64f, Gr5a",sternal_adductor_muscle,,,,DM1_antero_ventral,,,,,,,,,,,,,,,,
,,olfactory_receptor_neuron,frontoorbital_bristle_neuron,,,,,"sugar, Gr5a",sternal_anterior_rotator_muscle,,,,DM1_CX_d2,,,,,,,,,,,,,,,,
