UMAP1,UMAP2,id,top_nt,side,region,super_class,hemilineage,cell_function,nerve,composite_cell_type,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,neck_group,group,label,unordered_cluster,cluster,colours
26.998152751727705,2.068738329466921,720575941490709961,acetylcholine,right,neck_connective,ascending,TBD,NA,NA,ANXXX027,ascending,NA,ANXXX027,AN_AVLP_GNG_4,ANXXX027,IN,ascending_IN,NA,8,AN_19,#79B2E0
-29.36990640659749,3.819299328383547,720575941490717390,acetylcholine,right,neck_connective,descending,WEDd1,NA,NA,DNa09,descending,,DNa09,DNa09,DNa09,IN,descending_IN,NA,4,DN_02,#F96A3C
22.807234782977705,18.568957912978274,720575941490868021,acetylcholine,right,neck_connective,ascending,10B,NA,NA,AN10B047,ascending,NA,AN10B047,AN_AVLP_SAD_5,AN10B047,OUT,ascending_OUT,NA,6,AN_22,#FA4141
9.36820508937419,-2.1300286173256815,720575941490914761,acetylcholine,left,neck_connective,ascending,19A,halting,NA,AN19A018,ascending,NA,AN19A018,AN_GNG_52,AN19A018,IN,ascending_IN,AN19A018,17,AN_15,#61BAE7
16.475089092059736,-28.376287829819578,720575941490917833,glutamate,right,neck_connective,ascending,27X,NA,NA,AN27X017,ascending,NA,AN27X017,AN_multi_77,AN27X017,IN,ascending_IN,NA,9,AN_14,#3D9D98
-0.6050391082924554,-13.801214587632078,720575941491012809,NA,left,neck_connective,descending,NA,walking,NA,MDN,descending,NA,MDN,MDN,MDN,OUT,descending_OUT,MDN,2,DN_12,#9FB555
-35.50272272129475,10.662434208449465,720575941491055820,acetylcholine,left,neck_connective,descending,PSp2,steering,NA,DNp17,descending,NA,DNp17,DNp17,DNp17,IN,descending_IN,DNp17,16,DN_05,#9C9286
20.51601125697673,-6.146044623795408,720575941491057614,gaba,left,neck_connective,ascending,TBD,NA,NA,ANXXX264,ascending,NA,ANXXX264,AN_GNG_123,ANXXX264,IN,ascending_IN,NA,1,AN_20,#409D3D
22.378993053241377,-4.060523879471678,720575941491110606,gaba,left,neck_connective,ascending,05B,NA,NA,AN05B056,ascending,NA,AN05B056,AN_GNG_196,AN05B056,OUT,ascending_OUT,NA,1,AN_20,#409D3D
15.841280956073408,-32.75539816612329,720575941491126222,acetylcholine,right,neck_connective,descending,MX12__prim,NA,NA,DNg33,descending,,DNg33,DNg33,DNg33,IN,descending_IN,NA,9,DN_14,#3D9D98
