id,supervoxel_id,composite_cell_type,super_class,cell_type,cluster,colours,UMAP1,UMAP2
720575941436003616,76146335795083918,sternal_posterior_rotator_dorsomedial_ribbon,motor,sternal_posterior_rotator_dorsomedial_ribbon,EFF_23,#3A9B9C,-2.709835283233726,-0.25958185648136833
720575941526075673,76563393292801632,VCvN,motor,VCvN,EFF_18,#A59B8D,-3.3344771785279153,1.7099124863225867
720575941513444089,76492680481494597,CB0845,motor,CB0845,EFF_01,#F96B3D,3.7721788959960105,-1.8248694465082238
720575941535409178,76427398320857695,MNhm42,motor,MNhm42,EFF_20,#933CA5,-2.799930326416099,2.8093189671117713
720575941502759767,76287348228913541,femur_reductor_tiny_T3,motor,femur_reductor_tiny,EFF_23,#3A9B9C,-2.6175677699585793,-1.0222328231256554
720575941434381710,76427398321122603,hiii2 MN,motor,hiii2 MN,EFF_17,#5CB96D,0.029629715011513458,0.40563649679011604
720575941564037430,76427398320852703,hi2 MN,motor,hi2 MN,EFF_19,#50AC4C,-1.8585483951111672,2.3458699657995155
720575941650258709,76216429728501062,MNhl59,motor,MNhl59,EFF_17,#5CB96D,-0.53760623164376,1.020086474664872
720575941632094880,76216910765347061,femur_reductor_tiny_T3,motor,femur_reductor_tiny,EFF_23,#3A9B9C,-2.6175677699585793,-1.0222328231256554
720575941549899892,76287554320241878,tergotrochanter_extensor_MetaAN_T3,motor,tergotrochanter_extensor_MetaAN,EFF_23,#3A9B9C,-2.738815538360679,-0.8009594008844445
720575941660837500,76357579400098224,trochanter_flexor_ventrolateral_ribbon,motor,trochanter_flexor_ventrolateral_ribbon,EFF_23,#3A9B9C,-2.753830186798179,-0.7062933967035363
720575941665539827,76216085997430801,MNhl88,motor,MNhl88,EFF_19,#50AC4C,-1.7017538470764992,2.2364503815252235
720575941569769374,75935710532370878,pleural_remotor_and_abductor_dorsomedial_ribbon,motor,pleural_remotor_and_abductor_dorsomedial_ribbon,EFF_23,#3A9B9C,-2.956825963928306,-0.5152805373590539
720575941566929146,76356960924121267,hDVM MN,motor,hDVM MN,EFF_19,#50AC4C,-1.8048283977051613,2.4438905193883826
720575941508440193,76357648052342288,tibia_flexor_Fast,motor,tibia_flexor_Fast,EFF_24,#F3B539,-2.354026548339927,-0.7769930884759972
720575941509003792,76357991582669603,accessory_trochanter_flexor_T3,motor,accessory_trochanter_flexor,EFF_24,#F3B539,-2.335539571716392,-0.6306636855524133
720575941480482755,76357648118977611,tarsus_depressor_B_T3,motor,tarsus_depressor_B,EFF_24,#F3B539,-1.8282539767762063,-0.6208742186945031
720575941435859232,76146816764636055,tarsus_depressor_B_T3,motor,tarsus_depressor_B,EFF_24,#F3B539,-1.8282539767762063,-0.6208742186945031
720575941521190835,76357648052391865,tibia_flexor_T3,motor,tibia_flexor,EFF_04,#71C4EF,-0.5383744163056252,-0.7113721892755578
720575941471839296,76357510680441931,tibia_extensor_FETi_T3,motor,tibia_extensor_FETi,EFF_04,#71C4EF,-0.53675173945626,-0.07702570413761833
720575941488989129,76356685979706253,hi1 MN,motor,hi1 MN,EFF_19,#50AC4C,-1.7508504313965676,2.414587683923905
720575941578679121,76357510747164399,sternotrochanter_extensor_ventrolateral_ribbon,motor,sternotrochanter_extensor_ventrolateral_ribbon,EFF_23,#3A9B9C,-2.9275381488343117,-0.7240455672662804
720575941689495515,76498591631914828,long_tendon_muscle_ltm_B_T3,motor,long_tendon_muscle_ltm_B,EFF_24,#F3B539,-1.9254920405884621,-1.111397080175216
720575941519179480,76427948076681593,tarsus_levator_D_T3,motor,tarsus_levator_D,EFF_23,#3A9B9C,-2.500618688537681,-0.523478321782882
720575941549456673,76216979283176627,long_tendon_muscle_ltm_B_T3,motor,long_tendon_muscle_ltm_B,EFF_24,#F3B539,-1.9254920405884621,-1.111397080175216
720575941624174844,76146747978092519,tarsus_depressor_dipalpha_ventralU,motor,tarsus_depressor_dipalpha_ventralU,EFF_22,#FECA44,-2.8941137713929055,-1.810803704015548
720575941474483249,76286454741002091,haltere_motor_neuron_unknown,motor,haltere_motor_neuron_unknown,EFF_19,#50AC4C,-1.614961378051841,2.204822368868058
720575941497037218,76005941904382234,accessory_trochanter_flexor_T3,motor,accessory_trochanter_flexor,EFF_24,#F3B539,-2.335539571716392,-0.6306636855524133
720575941484865346,76357648119073479,accessory_tibia_flexor_B_T3,motor,accessory_tibia_flexor_B,EFF_23,#3A9B9C,-2.4971434993286965,-0.8320248649042199
720575941486464066,76427123443148703,MNhm03,motor,MNhm03,EFF_20,#933CA5,-2.71287798114022,2.912451691873734
720575941525682253,76706948749708896,DProN_v_T1,motor,DProN_v,EFF_18,#A59B8D,-3.3654196185608742,2.501493044145768
720575941470698507,76632662055478324,CEM,motor,CEM,EFF_12,#CB9D81,2.0778861718634727,-0.7044542357843468
720575941474569521,76492130658447451,CB0914,motor,CB0914,EFF_02,#3A9838,2.9051186221102836,-1.4018834159296105
720575941410682479,76844111952602290,CB0701,motor,CB0701,EFF_01,#F96B3D,3.402686842010415,-1.6872647330682824
720575941450979150,76844044239966652,l_NSC_unknown,visceral_circulatory,l_NSC_unknown,EFF_12,#CB9D81,1.0775817709426048,0.06895608449763557
720575941589327172,76703306751937803,l_NSC_unknown,visceral_circulatory,l_NSC_unknown,EFF_12,#CB9D81,1.0775817709426048,0.06895608449763557
720575941445316266,76355792425109231,EN00B011,visceral_circulatory,EN00B011,EFF_19,#50AC4C,-1.2077684325714944,2.3523734285909583
720575941495677383,76355998516020710,NA,visceral_circulatory,NA,EFF_13,#695B52,0.8030845003584983,0.4369880631048133
720575941495645819,76356273327480988,ENXXX226_A1,motor,ENXXX226,EFF_07,#90735D,2.30129478149215,1.054522462137406
720575941556144100,76919292335450058,sternal_posterior_rotator_MesoLN_dorsal_5_T2,motor,sternal_posterior_rotator_MesoLN_dorsal_5,EFF_05,#3093C4,0.29059625439444803,-0.9529030845087121
720575941535342563,76632799427531455,CB0904,motor,CB0904,EFF_02,#3A9838,2.8731251435736778,-1.3788950965326379
720575941555035044,76632799427444742,NA,motor,NA,EFF_13,#695B52,0.8030845003584983,0.4369880631048133
720575941542883869,76566348633139768,EN27X010_T1,visceral_circulatory,EN27X010,EFF_16,#773485,-0.984230987503135,1.3028466179449012
720575941560383347,77762342808594157,DVM1a-c_T2,motor,DVM1a-c,EFF_19,#50AC4C,-1.2678596896668313,2.6448138430196693
720575941547394081,77059548183463611,i2,motor,i2,EFF_20,#933CA5,-1.8655702991028664,2.8708330466825416
720575941537008370,77201522756398263,accessory_trochanter_flexor_T2,motor,accessory_trochanter_flexor,EFF_05,#3093C4,0.12130475811759256,-1.116841130010421
720575941556245156,76989592091975001,accessory_tibia_flexor_A_T2,motor,accessory_tibia_flexor_A,EFF_05,#3093C4,0.07164073757926248,-1.24521427606755
720575941668553639,76919567012157449,accessory_trochanter_flexor_T2,motor,accessory_trochanter_flexor,EFF_05,#3093C4,0.12130475811759256,-1.116841130010421
720575941505496610,77059960836015379,accessory_tibia_flexor_B_T2,motor,accessory_tibia_flexor_B,EFF_13,#695B52,0.3186044769744041,-0.4541914985101769
720575941497881417,76989316945194654,tibia_flexor_T2,motor,tibia_flexor,EFF_13,#695B52,0.4080684261778953,-0.5635970160883019
720575941501921419,76989248159059410,tibia_flexor_T2,motor,tibia_flexor,EFF_13,#695B52,0.4080684261778953,-0.5635970160883019
720575941577004881,76918948201343512,tarsus_levator_D_T2,motor,tarsus_levator_D,EFF_05,#3093C4,0.4147658424834373,-1.186857514135177
720575941610087498,76989179506234970,tp1,motor,tp1,EFF_19,#50AC4C,-1.378823511077964,2.5031076147634437
720575941623403116,76989316945205636,tarsus_depressor_B_T2,motor,tarsus_depressor_B,EFF_13,#695B52,0.5010397510985496,-0.2814744040887902
720575941476080948,76848442488147777,tp2,motor,tp2,EFF_19,#50AC4C,-1.2562475127716897,2.4601048901159217
720575941558995950,77059960836077942,accessory_tibia_flexor_B,motor,accessory_tibia_flexor_B,EFF_05,#3093C4,0.4564867096404197,-0.7529380843561242
720575941447844430,77059960836185342,accessory_tibia_flexor_B,motor,accessory_tibia_flexor_B,EFF_05,#3093C4,0.4564867096404197,-0.7529380843561242
720575941430258647,75929799314922850,CB0858,motor,CB0858,EFF_01,#F96B3D,3.5701222496489646,-1.8567073867242883
720575941611096028,77055768343885268,CB0901,motor,CB0901,EFF_18,#A59B8D,-3.4066464824219582,1.6903690769750526
720575941569716338,77266462125295171,CB0804,motor,CB0804,EFF_18,#A59B8D,-3.326907865478599,1.62113732839412
