UMAP1,UMAP2,id,top_nt,nerve,region,super_class,side,super_cluster,hemilineage,cell_function,cell_function_detailed,body_part_effector,composite_cell_type,cell_class,cell_sub_class,cell_type,label,nerve_side,unordered_cluster,cluster,colours,body_part_effector2
-3.76380768964368,-5.095408316544738,720575941494146176,gaba,right_prothoracic_leg_nerve,ventral_nerve_cord,motor,right,front leg,15B,leg_motor,leg_motor_flex_femur_tibia_joint,front leg,accessory_tibia_flexor_B,leg_motor_neuron,front_leg_motor_neuron,accessory_tibia_flexor_B,front leg,right,7,EFF_11,#E92F2F,front leg
-7.694809352851688,-0.2085442504207755,720575941494164864,acetylcholine,left_prothoracic_accessory_nerve,ventral_nerve_cord,motor,left,front leg,21A,leg_motor,leg_motor_move_coxa_posterior_lateral,front leg,pleural_remotor_and_abductor,leg_motor_neuron,front_leg_motor_neuron,pleural_remotor_and_abductor,front leg,left,8,EFF_14,#41A4D5,front leg
9.014352405571163,-3.2034568747799064,720575941494208128,acetylcholine,right_maxillary-labial_nerve,central_brain,motor,right,proboscis-antenna,putative_primary,proboscis_motor,proboscis_motor_proboscis_positioning,proboscis,MN4a,proboscis_motor_neuron,NA,MN4a,proboscis,right,12,EFF_01,#7E378C,proboscis
-6.45628873059827,4.036155823775086,720575941494740094,acetylcholine,left_metathoracic_leg_nerve,ventral_nerve_cord,motor,left,middle-hind leg,TBD,leg_motor,leg_motor_move_coxa_anterior,hind leg,sternal_anterior_rotator_ventrolateral_ribbon,leg_motor_neuron,hind_leg_motor_neuron,sternal_anterior_rotator_ventrolateral_ribbon,hind leg,left,1,EFF_13,#CF603E,hind leg
-6.14855996320325,4.327567223616395,720575941494963582,acetylcholine,left_mesothoracic_leg_nerve,ventral_nerve_cord,motor,left,middle-hind leg,19A,leg_motor,leg_motor_unknown_leg_movement,middle leg,femur_reductor,leg_motor_neuron,middle_leg_motor_neuron,femur_reductor,middle leg,left,1,EFF_13,#CF603E,middle leg
5.079103553795041,2.3076149264057015,720575941495589499,octopamine,abdominal_nerve_trunk,ventral_nerve_cord,motor,left,abdomen-egg-laying,TBD,unknown,NA,abdomen,CMU-like,abdomen_motor_neuron,NA,CMU-like,abdomen,left,10,EFF_03,#9FB555,abdomen
6.145883167289914,-0.8694269022266532,720575941495645819,serotonin,left_dorsal_metathoracic_nerve,ventral_nerve_cord,motor,left,thoracic-abdominal,putative_primary,unknown,NA,unknown thoracic abdominal,ENXXX226,unknown_thoracic_abdominal_motor_neuron,NA,ENXXX226,unknown thoracic abdominal,left,11,EFF_06,#55B151,NA
-0.6438659782178988,2.0113107004840707,720575941495677383,acetylcholine,NA,ventral_nerve_cord,visceral_circulatory,left,flight-energy-power,27X,unknown,NA,wing,EN27X010,ventral_nerve_cord_neurosecretory_cell,wing_neurosecretory_cell,EN27X010,wing,left,13,EFF_09,#FAC240,wing
-6.533442890144168,-3.398198958329406,720575941495864905,gaba,right_cervical_nerve,central_brain,motor,left,head-eye-antenna,putative_primary,neck_motor,neck_motor_neck_pitch,neck motor neck pitch,CvN7,neck_motor_neuron,neck_pitch_motor_neuron,CvN7,neck motor neck pitch,right,9,EFF_12,#F35438,NA
5.875872934364499,0.7841247358997201,720575941495969479,octopamine,abdominal_nerve_trunk,ventral_nerve_cord,motor,right,abdomen-ovulation,TBD,unknown,NA,abdomen,MNad55,abdomen_motor_neuron,NA,MNad55,abdomen,right,3,EFF_05,#9C9286,abdomen
-3.894017135597049,-5.108915921143737,720575941496126793,gaba,right_prothoracic_leg_nerve,ventral_nerve_cord,motor,right,front leg,15B,leg_motor,leg_motor_extend_tibia_tarsus_joint,front leg,tarsus_depressor_B,leg_motor_neuron,front_leg_motor_neuron,tarsus_depressor_B,front leg,right,7,EFF_11,#E92F2F,front leg
