root_id,root_888,supervoxel_id,position,neurotransmitter_predicted,cell_type,volume_nm3
720575941482015171,720575941482015171,75932892295130510,"114021, 150455, 3140",glutamate,IN21A002,162311138560
720575941646668488,720575941646668488,76076241861688308,"118648, 228776, 5897",glutamate,IN21A002,57451163136
720575941653995481,720575941653995481,77270104929024535,"153166,157230,4599",glutamate,IN21A002,36390494208
720575941481960131,720575941481960131,75652448245060339,"106450, 181683, 3744",glutamate,IN21A002,31515992832
720575941508463826,720575941508463826,75442647884237968,"100296, 219987, 4605",glutamate,IN21A002,30284739840
720575941548073864,720575941548073864,76919223414766163,"141649, 185524, 5014",glutamate,IN21A002,28053395200
720575941639365749,720575941639365749,76425954607792232,"127339, 165158, 3365",gaba,IN06B001,159906047232
720575941619905151,720575941619905151,76145510691909011,"118902, 195921, 4474",gaba,IN06B001,123569932544
720575941509851426,720575941509851426,78040037342377457,"174377, 34303, 2286",gaba,Pm12,159203084800
720575941492480974,720575941492480974,74451437480063716,"70370, 40075, 1831",gaba,Pm12,102025757440
720575941493069774,720575941660597272,78180774830361024,"179630, 34774, 2152",gaba,Pm12,NA
720575941627969900,720575941627969900,74310631339734660,"66395, 37370, 2231",gaba,Pm12,NA
720575941443858383,720575941544156508,74310631339601544,"66621, 37747, 2179",gaba,Pm12,NA
720575941395392918,720575941626500746,76211068401767641,"121922, 51953, 1964",acetylcholine,DNg100,155092940288
720575941500851362,720575941500851362,76848648780592061,"139345, 178984, 6033",acetylcholine,DNg100,112396140288
720575941575052872,720575941575052872,76703443720625152,"136787, 46170, 2856",acetylcholine,cMLLP01,154112566272
720575941537855754,720575941704842458,75647912491376734,"104557, 46916, 2764",acetylcholine,cMLLP01,NA
720575941352918576,720575941352918576,76211068334264392,"121379, 52628, 1559",gaba,DNg70,153095603456
720575941478429802,720575941478429802,76070262126519866,"117194, 50738, 1604",gaba,DNg70,94966370304
720575941505224498,720575941505224498,76495979889238952,"130450, 154062, 4047",dopamine,INXXX888_f,151201000960
720575941597040421,720575941615559955,76496048541370023,"129714, 155978, 3697",dopamine,INXXX888_f,NA
720575941505601623,720575941505601623,78391812209486061,"185575, 31564, 1748",gaba,Sm40,148378351616
720575941564887720,720575941568007478,74029087509029347,"59238, 34971, 1604",gaba,Sm40,NA
720575941567152738,720575941671636657,74451368760894851,"71440, 38480, 1937",gaba,Sm40,NA
720575941517986650,720575941503914123,74451368760814240,"70016, 37552, 1907",gaba,Sm40,NA
720575941480512362,720575941539183331,76984299886607295,"145002, 28267, 1610",octopamine,v2LN30,148117645824
720575941479102004,720575941492598476,75787962717395479,"109107, 26574, 2363",glutamate,v2LN30,NA
720575941562932781,720575941562932781,75930280619401456,"114612, 71951, 1952",glutamate,DNd02,146764810496
720575941473201783,720575941662395704,76777454597288358,"138683, 154844, 2946",glutamate,DNd02,NA
720575941517385306,720575941517385306,76005460532517031,"116113, 215306, 4996",gaba,AN05B009,145319168768
720575941618680533,720575941618680533,75724398074132228,"106859, 229049, 5805",gaba,AN05B009,91827536128
720575941530979204,720575941483616963,75864860550442486,"110752, 220092, 5324",gaba,AN05B009,NA
720575941465534733,720575941625363452,75928425596145718,"113232, 18234, 3344",gaba,oviIN,144112417536
720575941473367051,720575941614407900,76421556360300238,"127344, 33560, 2728",gaba,oviIN,NA
720575941593715569,720575941593715569,76143860954530669,"119885, 145953, 2620",gaba,pleural_remotor_and_abductor_miller_29,143853734144
720575941691007896,720575941691007896,75792017435372261,"108946, 145985, 3545",acetylcholine,pleural_remotor_and_abductor_miller_29,35455666688
720575941454221127,720575941454221127,75787825345845091,"110112, 21208, 2724",acetylcholine,lLN2T_c,143844817664
720575941537986275,720575941537986275,75435775533722357,"100285, 15147, 3061",acetylcholine,lLN2T_c,134934066432
720575941575336776,720575941515922179,76772987764454945,"139042, 22144, 2774",acetylcholine,lLN2T_c,NA
720575941418489884,720575941394900886,76843356508514452,"140502, 21518, 2727",acetylcholine,lLN2T_c,NA
720575941514619601,720575941514619601,76707154841197740,"136315, 157597, 4036",gaba,AN06B009,143261839872
720575941671865521,720575941539327474,76566486005107503,"132183, 158551, 3733",gaba,AN06B009,131528379904
720575941474101344,720575941474101344,76496735602002016,"130000, 176960, 3229",glutamate,AN02A002,139823199488
720575941641042549,720575941483106243,76496735602185248,"130402, 177130, 3292",glutamate,AN02A002,NA
720575941620273535,720575941620273535,76914343392169813,"142792, 40621, 1350",glutamate,DNd03,139496953600
720575941625621500,720575941625621500,75506899789065380,"101749, 38796, 1317",glutamate,DNd03,138886805504
720575941559176942,720575941559176942,75999756211743498,"115131, 45069, 2718",glutamate,DNb04,139299775488
720575941438465298,720575941438465298,76351737371893016,"126595, 49183, 2808",glutamate,DNb04,134667463936
720575941432949129,720575941627128010,75998725956874544,"115021, 15953, 4796",dopamine,SMP048,138970287360
720575941437098894,720575941470642141,76421007208396123,"127867, 17949, 5010",acetylcholine,SMP048,NA
720575941500947017,720575941618693845,75724398006910057,"106552, 228434, 5511",gaba,AN01B002,138770124288
720575941446297514,720575941446297514,76146403977982172,"119242, 222784, 4219",gaba,AN01B002,108907741440
720575941408856879,720575941408856879,75583591798781039,"103208, 225322, 5395",gaba,AN01B002,103725743104
720575941602034473,720575941602034473,76357304118750132,"125362, 215126, 4543",gaba,AN01B002,79615047424
720575941578509401,720575941578509401,75372760444204088,"97096, 234777, 5413",gaba,AN01B002,78670272256
720575941481244128,720575941481244128,76145373051960575,"120641, 192224, 3834",gaba,AN01B002,78492823808
720575941416258452,720575941542469724,76005529184877804,"116187, 218883, 4728",gaba,AN01B002,77746734848
720575941535620018,720575941535620018,76913725252318774,"142406, 21926, 2586",acetylcholine,lLN2T_e,138394087680
720575941496984448,720575941496984448,75647087790462519,"105607, 21361, 2498",acetylcholine,lLN2T_e,135242322944
720575941581806325,720575941477854785,75717525253966850,"107312, 22770, 2442",acetylcholine,lLN2T_e,119633957888
720575941577599592,720575941577599592,76913725252463758,"143272, 21130, 2641",acetylcholine,lLN2T_e,116383925248
720575941433344398,720575941433344398,75787825345576718,"109254, 21629, 2621",acetylcholine,lLN2T_e,50768067328
720575941690578294,720575941520427948,77899162884584682,"170367, 29567, 4001",gaba,AVLP001,137512197888
720575941528740610,720575941688947183,74943537921369306,"85503, 25563, 2844",gaba,AVLP076,137346830848
