vertex_id,root_626,super_class,cell_type,betweenness
354,720575941477358878,central_brain_intrinsic,VA7m_lPN,536.4433840342228
355,720575941402032240,ventral_nerve_cord_intrinsic,IN19B043,183.2889165005336
356,720575941486356230,,,0.0
357,720575941568835834,sensory_descending,DNx02,51.582534808566216
358,720575941534340289,ventral_nerve_cord_intrinsic,IN19A004,2022.1703257215263
359,720575941443541930,,,2.6947457746439083
360,720575941491072743,optic_lobe_intrinsic,Li13,0.1454767121876745
361,720575941437574719,optic_lobe_intrinsic,Mi1,0.0
362,720575941524473931,optic_lobe_intrinsic,Dm3v,0.0
363,720575941490845132,optic_lobe_intrinsic,Mi1,0.0
364,720575941432771982,ascending,AN16B078,400.1837219023539
365,720575941505261477,sensory,SNta20,1.5750249745110467
366,720575941519182446,optic_lobe_intrinsic,Mi4,0.0193605111346893
367,720575941460075078,central_brain_intrinsic,VA4_lPN,345.29108219671724
368,720575941599433664,ventral_nerve_cord_intrinsic,IN06B028,3501.193780809467
369,720575941441201855,sensory,,1.3022755672436268
370,720575941450230906,optic_lobe_intrinsic,T4d,0.0
371,720575941590298679,,,0.0
372,720575941602956790,ventral_nerve_cord_intrinsic,INXXX167,4073.624965148967
373,720575941469428445,,,0.0232966354668472
374,720575941427912276,visual_projection,LPLC4,0.6260426084192846
375,720575941590314536,ventral_nerve_cord_intrinsic,IN14A012,3163.705431995472
376,720575941549885757,central_brain_intrinsic,LAL056,0.1005418212370514
377,720575941560529902,,,0.0
378,720575941535858659,,,0.0
379,720575941562889984,optic_lobe_intrinsic,T5b,0.0
380,720575941525507684,optic_lobe_intrinsic,Dm3p,0.0016543328022793
381,720575941589031748,central_brain_intrinsic,PLP231,1041.0536457812102
382,720575941588978244,ascending,AN04B004,3309.67285573096
383,720575941438462482,ascending,AN08B025,7.276564545147988
384,720575941490108391,optic_lobe_intrinsic,Mi9,0.0
385,720575941575965800,central_brain_intrinsic,EPG,0.5609212747059232
386,720575941645348769,,,0.1775722356656555
387,720575941491310798,,,0.4985121742898781
388,720575941504382999,ventral_nerve_cord_intrinsic,IN08A006,1019.7690318873254
