flow,super_class,cell_class,cell_sub_class,cell_function,cell_function_detailed,count
,,ventral_nerve_cord_centripetal,ventral_nerve_cord_bilateral_interconnecting,,,9
,,,ventral_nerve_cord_bilateral_interconnecting,,,24
,,,ventral_nerve_cord_bilateral_interconnecting,,,13
,,,ventral_nerve_cord_bilateral_interconnecting,,,128
,,,ventral_nerve_cord_bilateral_restricted,,,9
,,,ventral_nerve_cord_bilateral_restricted,,,10
,,,ventral_nerve_cord_bilateral_restricted,,,24
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,17
,,ventral_nerve_cord_dorsal,ventral_nerve_cord_bilateral_interconnecting,,,10
,,,ventral_nerve_cord_bilateral_interconnecting,,,96
,,,ventral_nerve_cord_bilateral_restricted,,,8
,,,ventral_nerve_cord_contralateral_interconnecting,,,2
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,6
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,38
,,,ventral_nerve_cord_ipsilateral_restricted,,,4
,,,,,,
,,ventral_nerve_cord_serially_convergent,ventral_nerve_cord_bilateral_interconnecting,,,4
,,,ventral_nerve_cord_bilateral_interconnecting,,,4
,,,ventral_nerve_cord_bilateral_interconnecting,,,18
,,,ventral_nerve_cord_bilateral_interconnecting,,,160
,,,ventral_nerve_cord_bilateral_restricted,,,1
,,,ventral_nerve_cord_bilateral_restricted,,,36
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,22
,,,ventral_nerve_cord_bilateral_interconnecting,,,5
,,,ventral_nerve_cord_bilateral_interconnecting,,,354
,,,ventral_nerve_cord_bilateral_interconnecting,,,49
,,,ventral_nerve_cord_bilateral_interconnecting,,,3067
,,,ventral_nerve_cord_bilateral_restricted,,,6
,,,ventral_nerve_cord_bilateral_restricted,,,139
,,,ventral_nerve_cord_bilateral_restricted,,,15
,,,ventral_nerve_cord_bilateral_restricted,,,1658
,,,ventral_nerve_cord_contralateral_interconnecting,,,1
,,,ventral_nerve_cord_contralateral_interconnecting,,,21
,,,ventral_nerve_cord_contralateral_interconnecting,,,7
,,,ventral_nerve_cord_contralateral_interconnecting,,,87
,,,ventral_nerve_cord_contralateral_restricted,,,1
,,,ventral_nerve_cord_contralateral_restricted,,,47
,,,ventral_nerve_cord_contralateral_restricted,,,12
,,,ventral_nerve_cord_contralateral_restricted,,,322
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,9
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,224
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,7
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,681
,,,ventral_nerve_cord_ipsilateral_restricted,,,26
,,,ventral_nerve_cord_ipsilateral_restricted,,,163
,,,ventral_nerve_cord_ipsilateral_restricted,,,62
,,,ventral_nerve_cord_ipsilateral_restricted,,,2479
,,,,,,104
,visual_centrifugal,amacrine_medulla,,,,26
,,centrifugal_lobula,,,,98
,,centrifugal_lobula_lobula_plate,,,,4
,,centrifugal_lobula_lobula_plate_medulla,,,,8
,,centrifugal_lobula_medulla,,,,2
,,centrifugal_lobula_plate,,,,187
,,centrifugal_medulla,,,,79
,,centrifugal_medulla_lobula,,,,4
,,centrifugal_medulla_lobula_lobula_plate,,,,5
,,lamina_tangential,,,,10
,,lobula_plate_tangential_cell,,,,10
,,lobula_tangential,,,,28
,,medial_antennal_lobula,,,,6
,,ocellar_centrifugal_neuron,,,,25
,,optic_anterior,,,,22
,,,,,,11
,visual_projection,amacrine_medulla,,,,95
,,circadian_neuron,APDN3,,,4
,,,,,,10
,,lobula_columnar,,,,3821
,,lobula_lobula_plate_columnar,,,,664
,,lobula_plate_columnar,,,,280
,,lobula_plate_lobula_columnar,,,,460
,,lobula_plate_tangential_cell,,,,147
,,lobula_tangential,APDN3,,,2
,,,,,,464
,,medulla_lobula_plate,,,,2
,,medulla_medulla,,,,48
,,medulla_tangential,,,,744
,,medulla_tubercle,,,,896
,,ocellar_projection_neuron,,visual_ocellar,,20
,,transmedullary_y,,,,370
,,,,,,31
