UMAP1,UMAP2,id,neurotransmitter,side,region,super_class,hemilineage,cell_function,nerve,cell_sub_type,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,super_cluster,st_cluster,manual_cluster,seed_12,pd_width,neck_group,group,label,cell_type_base,modality,cell_function_plot,clusterno,image_path,cosine_UMAP1,cosine_UMAP2,calculated_cluster,cluster,colours,pd_has_width,pd_size,image
-10.897631775284513,25.272315405713137,720575941550700605,acetylcholine,left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B999,ascending_neuron,ascending_neuron,AN05B999,AN_GNG_190,auto:IN05B030,threat response,threat response (AN),AN_07,AN05B999_720575941550700605,NA,OUT,ascending_OUT,NA,AN05B999,NA,NA,8,NA,21.628906040244928,-3.074808474043069,8,AN_08,#51B07B,FALSE,0.5,NA
-9.216032158280118,-36.14457950700659,720575941550794751,acetylcholine,right,central_brain,descending,LB7,NA,NA,DNg36_a,descending_neuron,descending_neuron,DNg36_a,DNg36_a,DNg36,head orienting,head orienting (DN),DN_02,DNg36_a_720575941550794751,0.41,IN,descending_IN,NA,DNg36,NA,NA,4,NA,-41.08688375467695,-4.868977900007424,4,DN_04,#947E6C,TRUE,0.41,NA
6.672628749465242,27.038209341870363,720575941550801441,gaba,right,ventral_nerve_cord,ascending,12B,NA,NA,AN12B011,ascending_neuron,ascending_neuron,AN12B011,AN_GNG_151,AN12B011,reproduction,reproduction (AN),AN_11,AN12B011_720575941407564718,0.59,OUT,ascending_OUT,NA,AN12B011,NA,NA,3,NA,46.70198038106524,-8.432594175794778,3,AN_03,#F7BA3C,TRUE,0.59,NA
6.862246383284822,29.09838809858423,720575941550824481,gaba,left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B036,ascending_neuron,ascending_neuron,AN05B036,NA,auto:IN05B036,reproduction,reproduction (AN),AN_11,AN05B036_720575941441978575,0.4,OUT,ascending_OUT,NA,AN05B036,NA,NA,3,NA,35.50701501851641,3.0344525618761207,3,AN_03,#F7BA3C,TRUE,0.4,NA
14.15863119468619,3.5756834972963887,720575941550909951,acetylcholine,right,ventral_nerve_cord,ascending,putative_primary,NA,NA,ANXXX072,ascending_neuron,ascending_neuron,ANXXX072,AN_GNG_13,ANXXX072,walking,walking (AN),AN_09,ANXXX072_720575941550909951,0.39,IN,ascending_IN,NA,ANXXX072,NA,NA,9,NA,-1.0708402704659787,2.0878983779161597,9,AN_09,#E42E2E,TRUE,0.39,NA
2.04184423789908,-22.21163807023901,720575941550933821,acetylcholine,right,central_brain,descending,LB7__prim,NA,NA,DNge018,descending_neuron,descending_neuron,DNge018,DNge018,DNg89,head orienting,head orienting (DN),DN_02,DNge018_720575941550933821,0.58,IN,descending_IN,NA,DNge018,NA,NA,4,NA,-31.13081190103925,-1.5076973395139552,4,DN_04,#947E6C,TRUE,0.58,NA
9.472453940963046,-39.48799762834448,720575941550999175,acetylcholine,right,ventral_nerve_cord,ascending,19B,NA,NA,AN19B076,ascending_neuron,ascending_neuron,AN19B076,SA_DMT_DMetaN_8,AN19B076,flight steering 2,flight steering 2 (AN),AN_12,AN19B076_720575941550999175,0.52,IN,ascending_IN,NA,AN19B076,NA,NA,11,NA,-39.60297796244062,13.233469132921043,11,AN_11,#FE4545,TRUE,0.52,NA
-24.974179397965177,-17.437719918383543,720575941550999357,acetylcholine,left,central_brain,descending,putative_primary,NA,NA,DNbe001,descending_neuron,descending_neuron,DNbe001,DNbe001,DNut040,flight steering 1,flight steering 1 (DN),DN_14,DNbe001_720575941550999357,0.74,IN,descending_IN,NA,DNbe001,NA,NA,12,NA,-21.59859868997968,-9.411768789747414,12,DN_12,#FBCD5A,TRUE,0.74,NA
32.88765989646841,14.852317236767824,720575941551093639,acetylcholine,left,central_brain,descending,MX12,NA,NA,DNg12_c,descending_neuron,descending_neuron,DNg12_c,DNg12_c,DNnt008,grooming,grooming (DN),DN_17,DNg12_c_720575941551093639,0.37,IN,descending_IN,NA,DNg12,grooming,grooming,4,figures/schematics/umap_icons/grooming.svg,-15.658047885841498,-6.603415842512307,4,DN_04,#947E6C,TRUE,0.37,figures/schematics/umap_icons/grooming.svg
-52.56281770362924,6.623557947979982,720575941551104372,dopamine,right,ventral_nerve_cord,ascending,NA,NA,NA,AN_multi_124,ascending_neuron,ascending_neuron,AN_multi_124,AN_multi_124,NA,visceral control,visceral control (AN),AN_19,NA_720575941551104372,0.44,OUT,ascending_OUT,NA,AN_multi_124,NA,NA,19,NA,5.039083747917047,-44.785786505201514,19,AN_19,#B56FCC,TRUE,0.44,NA
3.2967582832329425,-32.05337391008276,720575941551193115,gaba,right,central_brain,descending,LB6,reaching,NA,DNg10,descending_neuron,descending_neuron,DNg10,DNg10,DNg10,head orienting,head orienting (DN),DN_02,DNg10_720575941551193115,0.35,IN,descending_IN,DNg10,DNg10,NA,NA,4,NA,-41.47949239725507,6.526774529954734,4,DN_04,#947E6C,TRUE,0.35,NA
-17.38111604347299,13.258525275097902,720575941551408538,acetylcholine,left,ventral_nerve_cord,ascending,08B,NA,NA,AN08B107,ascending_neuron,ascending_neuron,AN08B107,AN_GNG_182,AN08B107,probing,probing (AN),AN_01,AN08B107_720575941551408538,0.24,OUT,ascending_OUT,NA,AN08B107,NA,NA,8,NA,10.851464061790338,-15.699507589796243,8,AN_08,#51B07B,TRUE,0.24,NA
-15.459980141068204,-24.001955605639402,720575941551414170,acetylcholine,right,central_brain,descending,LB7,flight,NA,DNg07,descending_neuron,descending_neuron,DNg07,DNg07,DNg07,flight power,flight power (DN),DN_15,DNg07_720575941551414170,0.42,OUT,descending_OUT,DNg07,DNg07,flight,flight,6,figures/schematics/umap_icons/flight.svg,-21.066824169105658,16.261956338426412,6,DN_06,#4D9C3C,TRUE,0.42,figures/schematics/umap_icons/flight.svg
